Item_ID|Color_ID|Dimension_ID|Size_ID|SKU_ID|Qty_On_Hand|SFA_Qty_On_Hand|Activity_Type_ID|BusinessUnitID|Available_Date|Ret_Price|Program_Price|Product Description|Mat Status|UPC
||||2017549|0|0|U|POWER||549.95|285.97|PS STAR MATTE BLACK SOLID S 10|60|843142040691

||||2017550|0|0|U|POWER||549.95|285.97|PS STAR MATTE BLACK SOLID M 10|60|843142040707

||||2017551|0|0|U|POWER||549.95|285.97|PS STAR MATTE BLACK SOLID L 10|60|843142040714

||||2017552|0|0|U|POWER||549.95|285.97|PS STAR MATTE BLACK SOLID XL 10|60|843142040721

||||2017553|0|0|U|POWER||549.95|285.97|PS STAR MATTE BLACK SOLID XXL 10|60|843142040738

||||2017554|0|0|U|POWER||549.95|285.97|PS STAR METALLIC SILVER SOLID XS 10|60|843142040745

||||2017555|0|0|U|POWER||549.95|285.97|PS STAR METALLIC SILVER SOLID S 10|60|843142040752

||||2017556|0|0|U|POWER||549.95|285.97|PS STAR METALLIC SILVER SOLID M 10|60|843142040769

||||2017557|0|0|U|POWER||549.95|285.97|PS STAR METALLIC SILVER SOLID L 10|60|843142040776

||||2017558|0|0|U|POWER||549.95|285.97|PS STAR METALLIC SILVER SOLID XL 10|60|843142040783

||||2017559|0|0|U|POWER||549.95|285.97|PS STAR METALLIC SILVER SOLID XXL 10|60|843142040790

||||2017620|0|0|U|POWER|20171027|179.95|93.57|PS VORTEX BLACK SOLID XS 10|50|843142041407

||||2017621|1|1|U|POWER||179.95|93.57|PS VORTEX BLACK SOLID S 10|50|843142041414

||||2017622|2|2|U|POWER||179.95|93.57|PS VORTEX BLACK SOLID M 10|50|843142041421

||||2017623|1|1|U|POWER||179.95|93.57|PS VORTEX BLACK SOLID L 10|50|843142041438

||||2017624|0|0|U|POWER|20171027|179.95|93.57|PS VORTEX BLACK SOLID XL 10|50|843142041445

||||2017625|2|2|U|POWER||179.95|93.57|PS VORTEX BLACK SOLID XXL 10|50|843142041452

||||2017626|0|0|U|POWER|20171027|179.95|93.57|PS VORTEX MATTE BLACK SOLID XS 10|50|843142041469

||||2017627|21|21|U|POWER||179.95|93.57|PS VORTEX MATTE BLACK SOLID S 10|50|843142041476

||||2017628|90|90|U|POWER||179.95|93.57|PS VORTEX MATTE BLACK SOLID M 10|50|843142041483

||||2017629|82|82|U|POWER||179.95|93.57|PS VORTEX MATTE BLACK SOLID L 10|50|843142041490

||||2017630|62|62|U|POWER||179.95|93.57|PS VORTEX MATTE BLACK SOLID XL 10|50|843142041506

||||2017631|27|27|U|POWER||179.95|93.57|PS VORTEX MATTE BLACK SOLID XXL 10|50|843142041513

||||2017632|0|0|U|POWER||179.95|70.18|PS VORTEX METALLIC SILVER SOLID XS 10|60|843142041520

||||2017633|0|0|U|POWER||179.95|70.18|PS VORTEX METALLIC SILVER SOLID S 10|60|843142041537

||||2017634|0|0|U|POWER||179.95|70.18|PS VORTEX METALLIC SILVER SOLID M 10|60|843142041544

||||2017635|0|0|U|POWER||179.95|70.18|PS VORTEX METALLIC SILVER SOLID L 10|60|843142041551

||||2017636|0|0|U|POWER||179.95|70.18|PS VORTEX METALLIC SILVER SOLID XL 10|60|843142041568

||||2017637|0|0|U|POWER||179.95|70.18|PS VORTEX METALLIC SILVER SOLID XXL 10|60|843142041575

||||2017638|0|0|U|POWER||179.95|93.57|PS VORTEX WHITE SOLID XS 10|60|843142041582

||||2017639|0|0|U|POWER||179.95|93.57|PS VORTEX WHITE SOLID S 10|60|843142041599

||||2017640|0|0|U|POWER||179.95|93.57|PS VORTEX WHITE SOLID M 10|60|843142041605

||||2017641|0|0|U|POWER||179.95|93.57|PS VORTEX WHITE SOLID L 10|60|843142041612

||||2017642|0|0|U|POWER||179.95|93.57|PS VORTEX WHITE SOLID XL 10|60|843142041629

||||2017643|0|0|U|POWER||179.95|93.57|PS VORTEX WHITE SOLID XXL 10|60|843142041636

||||2017662|0|0|U|POWER||99.95|51.97|PS ARROW STRAFER XS 10|60|843142041827

||||2017663|0|0|U|POWER||99.95|51.97|PS ARROW STRAFER S 10|60|843142041834

||||2017664|0|0|U|POWER||99.95|51.97|PS ARROW STRAFER M 10|60|843142041841

||||2017665|0|0|U|POWER||99.95|51.97|PS ARROW STRAFER L 10|60|843142041858

||||2017666|0|0|U|POWER||99.95|51.97|PS ARROW STRAFER XL 10|60|843142041865

||||2017667|0|0|U|POWER||99.95|51.97|PS ARROW STRAFFER XXL 10|60|843142041872

||||2017686|0|0|U|POWER||99.95|38.98|PS ARROW BLACK SOLID XS 10|60|843142042060

||||2017687|0|0|U|POWER||99.95|38.98|PS ARROW BLACK SOLID S 10|60|843142042077

||||2017688|0|0|U|POWER||99.95|38.98|PS ARROW BLACK SOLID M 10|60|843142042084

||||2017689|0|0|U|POWER||99.95|38.98|PS ARROW BLACK SOLID L 10|60|843142042091

||||2017690|0|0|U|POWER||99.95|38.98|PS ARROW BLACK SOLID XL 10|60|843142042107

||||2017691|0|0|U|POWER||99.95|38.98|PS ARROW BLACK SOLID XXL 10|60|843142042114

||||2017692|0|0|U|POWER||99.95|38.98|PS ARROW MATTE BLACK SOLID XS 10|60|843142042121

||||2017693|0|0|U|POWER||99.95|38.98|PS ARROW MATTE BLACK SOLID S 10|60|843142042138

||||2017694|0|0|U|POWER||99.95|38.98|PS ARROW MATTE BLACK SOLID M 10|60|843142042145

||||2017695|0|0|U|POWER||99.95|38.98|PS ARROW MATTE BLACK SOLID L 10|60|843142042152

||||2017696|0|0|U|POWER||99.95|38.98|PS ARROW MATTE BLACK SOLID XL 10|60|843142042169

||||2017697|0|0|U|POWER||99.95|38.98|PS ARROW MATTE BLACK SOLID XXL 10|60|843142042176

||||2017698|0|0|U|POWER||99.95|38.98|PS ARROW METALLIC SILVER SOLID XS 10|60|843142042183

||||2017699|0|0|U|POWER||99.95|38.98|PS ARROW METALLIC SILVER SOLID S 10|60|843142042190

||||2017700|0|0|U|POWER||99.95|38.98|PS ARROW METALLIC SILVER SOLID M 10|60|843142042206

||||2017701|0|0|U|POWER||99.95|38.98|PS ARROW METALLIC SILVER SOLID L 10|60|843142042213

||||2017702|0|0|U|POWER||99.95|38.98|PS ARROW METALLIC SILVER SOLID XL 10|60|843142042220

||||2017703|0|0|U|POWER||99.95|38.98|PS ARROW METALLIC SILVER SOLID XXL 10|60|843142042237

||||2017716|0|0|U|POWER||99.95|29.99|PS DRIFTER GUN METAL XS 10|60|843142042367

